datetime,city,state,country,shape,duration_seconds
2006-10-11 21:32:00,la crescenta,ca,us,circle,3.0
2006-10-11 22:00:00,enid,ok,us,light,60.0
2006-10-11 23:00:00,pampa,tx,us,triangle,60.0
2006-10-11 00:00:00,rome,ny,us,oval,120.0
2007-10-11 04:40:00,melbourne,ky,us,oval,360.0
2007-10-11 10:10:00,carlton,or,us,cylinder,900.0
2007-10-11 16:00:00,clackamas,or,us,circle,900.0
2007-10-11 19:28:00,brassall (australia),,,unknown,3600.0
2007-10-11 19:50:00,seattle,wa,us,triangle,10.0
2007-10-11 20:15:00,tega cay,sc,us,light,1800.0
2007-10-11 20:30:00,gulf shores,al,us,disk,1800.0
2007-10-11 23:00:00,london (uk/england),,gb,unknown,300.0
2008-10-11 00:00:00,klagenfurt (austria),,,chevron,60.0
2008-10-11 04:30:00,brownsville,tx,us,disk,3.0
2008-10-11 06:00:00,concord,ca,us,light,180.0
2008-10-11 13:00:00,salisbury,nc,us,sphere,20.0
2008-10-11 17:30:00,bellmere (australia),,,cylinder,240.0
2008-10-11 19:00:00,bridgeport,ct,us,circle,7200.0
2008-10-11 19:00:00,dover,md,us,sphere,7200.0
2008-10-11 19:00:00,riverside,ca,us,light,60.0
2008-10-11 19:30:00,naples,fl,us,triangle,30.0
2008-10-11 20:30:00,centerville,tx,us,light,900.0
2008-10-11 20:30:00,villa park/lombard,il,,changing,300.0
2008-10-11 22:20:00,albuquerque,nm,us,fireball,120.0
2008-10-11 22:30:00,los angeles,ca,us,triangle,30.0
2009-10-11 00:00:00,sedro woolley,wa,,unknown,10.0
2009-10-11 02:45:00,deer park,ny,us,other,10800.0
2009-10-11 04:00:00,crisfield,md,us,light,600.0
2009-10-11 04:45:00,st. john&#39s (canada),nf,ca,flash,5.0
2009-10-11 09:45:00,plymouth,mi,us,triangle,20.0
2009-10-11 12:30:00,glendale,az,us,egg,1200.0
2009-10-11 18:00:00,louisville,ky,us,disk,120.0
2009-10-11 18:05:00,west palm beach,fl,us,oval,3.0
2009-10-11 19:00:00,north smithfield,ri,us,circle,15.0
2009-10-11 19:50:00,putnamville,in,us,flash,540.0
2009-10-11 21:55:00,madison,wi,us,light,180.0
2010-10-11 00:30:00,redondo beach,ca,us,other,1200.0
2010-10-11 04:00:00,moxee,wa,,rectangle,1.0
2010-10-11 04:50:00,albany,ny,us,oval,120.0
2010-10-11 06:20:00,west palm beach,fl,us,sphere,2400.0
2010-10-11 12:30:00,orangevale,ca,us,changing,2700.0
2010-10-11 19:40:00,cottage grove,mn,us,light,240.0
2010-10-11 20:50:00,glendora,ca,us,circle,60.0
2010-10-11 20:53:00,ramona,ca,us,triangle,5.0
2010-10-11 21:35:00,union city,ca,us,other,15.0
2010-10-11 23:20:00,clinton township,mi,,fireball,15.0
2011-10-11 03:15:00,omaha,il,us,chevron,120.0
2011-10-11 08:40:00,henderson,nv,us,other,180.0
2011-10-11 15:00:00,cedar city,ut,us,light,8.0
2011-10-11 19:40:00,des moines,ia,us,light,90.0
2011-10-11 19:42:00,new bedford,ma,us,circle,1800.0
2011-10-11 21:00:00,monroe,ct,us,,300.0
2011-10-11 21:10:00,holden beach,nc,us,circle,30.0
2011-10-11 23:23:00,harrodsburg,ky,us,unknown,480.0
2012-10-11 01:00:00,worcester,ma,us,unknown,4.0
2012-10-11 02:45:00,watchung (was my perspective),nj,us,sphere,3600.0
2012-10-11 04:00:00,tewksbury,ma,us,light,2.0
2012-10-11 07:00:00,bablyon,ny,,disk,120.0
2012-10-11 08:00:00,angola,in,us,cigar,7200.0
2012-10-11 19:30:00,arbutus,md,us,light,300.0
2012-10-11 19:30:00,forty fort,pa,us,fireball,720.0
2012-10-11 19:45:00,saratoga springs,ny,us,circle,300.0
2012-10-11 20:00:00,nanticoke,pa,us,diamond,60.0
2012-10-11 20:30:00,las cruces,nm,us,fireball,120.0
2012-10-11 20:42:00,ravensdale,wa,us,triangle,10.0
2012-10-11 21:00:00,levittown,pa,us,diamond,60.0
2012-10-11 21:01:00,phoenix,az,us,sphere,30.0
2012-10-11 22:15:00,blue island,il,us,circle,45.0
2013-10-11 01:00:00,saginaw,mi,us,chevron,4.0
2013-10-11 03:00:00,hamilton (canada),on,ca,cylinder,3600.0
2013-10-11 06:13:00,ankeny,ia,us,circle,120.0
